administrative,administrative_duration,informational,informational_duration,product_related,product_related_duration,bounce_rates,exit_rates,page_values,special_day,month,operating_systems,browser,region,traffic_type,visitor_type,weekend,revenue
3,142.5,0,0.0,48,1052.255952,0.004347826,0.013043478,0.0,0.0,7,1,8,6,11,2,0,0
6,437.3913043,2,235.55,83,2503.881781,0.002197802,0.004916136,2.086218493,0.0,5,2,2,3,2,2,0,1
1,41.125,0,0.0,126,4310.004668,0.000687831,0.012822843,3.451072113,0.0,7,2,2,2,2,2,0,0
2,141.0,0,0.0,10,606.6666667,0.008333333,0.026388889,36.672294,0.0,0,2,5,7,4,2,0,0
18,608.14,6,733.8,168,4948.398759,0.006631763,0.013527508,10.15064372,0.0,0,2,2,3,1,2,1,0
1,22.0,0,0.0,9,415.25,0.033333333,0.048148148,0.0,0.0,5,3,3,1,1,2,0,0
0,0.0,0,0.0,14,186.9333333,0.042857143,0.071428571,0.0,0.0,6,2,2,3,4,2,0,0
0,0.0,0,0.0,12,198.0,0.016666667,0.075,0.0,0.0,5,2,2,3,2,2,0,0
8,149.5,0,0.0,55,2598.991667,0.003278689,0.008196721,48.72995628,0.0,6,2,4,8,2,2,1,0
6,140.3333333,0,0.0,9,88.95,0.0,0.004761905,0.0,0.0,6,3,2,2,3,0,0,0
0,0.0,0,0.0,29,631.775,0.021428571,0.05042517,0.0,0.0,7,2,2,1,1,2,0,0
4,101.75,2,65.5,37,1307.472222,0.011149826,0.027235772,0.0,0.0,7,3,2,3,2,2,0,0
0,0.0,0,0.0,6,223.3333333,0.0,0.008333333,0.0,0.0,6,2,2,1,2,2,0,0
2,54.5,0,0.0,5,66.5,0.0,0.028571429,0.0,0.0,1,8,13,9,20,1,0,0
0,0.0,0,0.0,3,222.0,0.133333333,0.133333333,0.0,0.0,6,1,1,3,3,2,0,0
0,0.0,0,0.0,17,559.75,0.011764706,0.019607843,0.0,0.0,7,1,1,3,3,2,0,0
0,0.0,0,0.0,1,11.0,0.0,0.1,0.0,0.0,1,2,2,1,10,1,0,0
0,0.0,0,0.0,9,190.3333333,0.0,0.033333333,0.0,0.0,1,1,1,3,2,0,0,0
4,75.1,0,0.0,7,102.7,0.0,0.011111111,0.0,0.0,9,2,4,6,2,2,0,1
2,20.0,0,0.0,66,3391.68588,0.028955224,0.038335618,0.0,0.0,1,3,2,8,1,2,0,0
1,12.0,0,0.0,18,691.5,0.0,0.005,0.0,0.0,6,2,4,4,2,2,0,0
0,0.0,0,0.0,50,2549.534524,0.012244898,0.036530612,0.0,0.0,7,1,2,2,2,2,0,0
3,106.5,2,49.5,29,1433.634921,0.008064516,0.018932412,0.0,0.0,7,3,2,4,2,2,1,0
8,217.0,2,281.5,5,236.1666667,0.0,0.014285714,0.0,0.0,6,2,2,3,2,2,0,0
0,0.0,0,0.0,13,221.5,0.0,0.020512821,0.0,0.0,7,2,2,1,2,0,0,0
5,79.1,0,0.0,36,1081.108333,0.025,0.025972222,0.0,0.0,9,1,2,2,2,2,1,0
0,0.0,0,0.0,43,898.2388889,0.007317073,0.031707317,8.898618695,0.0,7,2,4,1,10,2,0,1
0,0.0,0,0.0,13,392.0,0.0,0.026923077,0.0,0.6,6,3,2,1,13,2,0,0
0,0.0,0,0.0,47,3650.316667,0.0,0.003333333,97.19657367,0.0,7,2,2,1,10,2,0,1
0,0.0,0,0.0,20,2280.833333,0.01,0.038333333,0.0,0.0,6,1,1,1,4,2,0,0
0,0.0,0,0.0,4,0.0,0.2,0.2,0.0,0.2,6,3,2,1,13,2,0,0
16,284.85,0,0.0,276,4758.380638,0.001034483,0.007306262,27.43209507,0.0,6,4,1,3,1,2,1,1
9,250.0833333,2,30.5,155,4643.283732,0.002073171,0.007466851,10.11599409,0.0,7,2,2,1,3,2,0,1
4,178.0,2,209.0,17,2777.666667,0.0,0.009090909,0.0,0.0,5,3,2,7,1,2,0,0
0,0.0,0,0.0,6,116.5,0.0,0.066666667,0.0,0.0,5,2,2,2,3,2,1,0
0,0.0,0,0.0,75,1775.241667,0.001333333,0.019428571,0.0,0.0,7,2,6,5,3,2,1,0
4,85.0,0,0.0,19,599.0,0.015,0.035,0.0,0.0,6,2,2,1,2,2,0,0
2,126.75,0,0.0,22,2281.583333,0.02969697,0.043686869,0.0,0.0,1,3,2,2,3,2,0,0
2,123.0,0,0.0,6,178.3333333,0.0,0.023809524,0.0,0.0,6,3,2,1,1,2,1,0
5,193.0,1,13.0,66,2049.458471,0.004489796,0.012765306,29.45815149,0.0,5,3,2,3,1,2,1,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,6,3,2,7,3,2,0,0
0,0.0,3,146.0,23,1249.216667,0.015384615,0.029102564,15.33867021,0.0,0,3,2,3,4,2,0,0
2,63.5,0,0.0,9,99.06666667,0.036363636,0.072727273,0.0,0.0,8,1,1,1,4,2,0,0
8,364.5,0,0.0,26,783.5,0.007692308,0.013461538,0.0,0.0,6,1,2,4,15,2,1,0
0,0.0,0,0.0,2,254.0,0.0,0.1,0.0,0.0,5,3,2,4,1,2,0,0
5,30.0,1,4.0,107,4376.902655,0.007272727,0.021707552,0.0,0.0,8,2,2,2,4,2,0,0
2,45.5,0,0.0,9,122.25,0.0,0.018181818,0.0,0.0,1,2,2,7,2,0,0,0
13,913.5222222,3,141.88,29,1293.652222,0.002631579,0.020570175,1.483746347,0.0,0,2,2,4,2,2,1,0
0,0.0,0,0.0,20,1117.333333,0.0,0.000956938,0.0,0.0,5,2,4,7,2,2,0,0
4,115.7,0,0.0,16,655.3833333,0.0,0.012037037,0.0,0.0,7,1,1,2,3,2,0,0
4,128.125,4,134.5,93,2697.17535,0.006060606,0.019274564,0.0,0.0,7,2,2,3,2,2,1,0
3,33.6,0,0.0,4,109.5,0.0,0.013333333,0.0,0.0,8,3,2,1,2,0,0,0
4,76.0,0,0.0,39,1936.55,0.004761905,0.023809524,5.51397619,0.0,5,4,1,3,2,2,0,0
0,0.0,0,0.0,69,653.2777778,0.014705882,0.053431373,0.0,0.6,6,2,4,7,4,2,0,0
0,0.0,0,0.0,8,612.0,0.0,0.014285714,0.0,0.0,5,3,3,1,2,0,1,0
3,314.5,0,0.0,22,2837.166667,0.0,0.008333333,0.0,0.0,6,2,4,2,2,0,0,0
0,0.0,0,0.0,29,1137.166667,0.0,0.007142857,22.27457143,0.0,6,1,8,1,11,2,1,1
0,0.0,0,0.0,4,202.75,0.0,0.025,0.0,0.0,7,3,2,1,13,2,0,0
1,37.5,0,0.0,25,593.2916667,0.008333333,0.00375,0.0,0.0,1,1,1,1,1,2,1,0
0,0.0,0,0.0,7,220.3333333,0.0,0.01,0.0,0.0,6,2,2,1,5,0,0,0
3,36.0,2,763.0,9,163.5,0.0,0.014285714,0.0,0.0,1,8,2,1,2,0,0,1
3,7.0,1,25.16666667,21,446.0,0.019047619,0.031746032,32.38852793,0.0,7,2,2,1,1,2,0,0
5,68.5,2,34.25,385,14505.72725,0.007309999,0.013519938,0.0,0.0,7,3,2,3,3,2,0,0
0,0.0,0,0.0,8,186.5,0.0,0.025,0.0,0.0,5,2,2,3,3,2,1,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,4,2,2,1,1,2,0,0
0,0.0,0,0.0,43,3382.083333,0.0,0.011627907,0.0,0.0,6,2,2,1,2,2,0,0
2,227.6,0,0.0,115,5284.816825,0.0,0.002849003,0.0,0.0,8,2,2,4,4,2,0,0
11,157.3889922,3,338.4,46,1624.935625,0.005357143,0.021391443,0.0,0.0,7,3,2,3,3,2,0,0
16,445.35,0,0.0,103,2091.037588,0.007894737,0.028165804,7.224419132,0.0,8,3,2,1,2,2,1,0
0,0.0,0,0.0,42,2058.25,0.021138211,0.051219512,0.0,0.2,6,2,10,7,1,2,0,0
0,0.0,0,0.0,5,720.5,0.16,0.18,0.0,0.0,7,3,2,2,13,2,0,0
0,0.0,0,0.0,4,35.33333333,0.05,0.1,0.0,0.0,4,1,1,1,2,2,1,0
0,0.0,0,0.0,5,89.5,0.04,0.053333333,0.0,0.0,1,1,1,3,2,2,1,0
2,66.0,1,0.0,10,302.0,0.042857143,0.05952381,19.53495497,0.0,5,2,6,3,2,2,0,1
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,7,2,4,1,3,2,0,0
0,0.0,0,0.0,4,14.2,0.1,0.15,0.0,0.0,8,1,1,1,1,2,1,0
1,6.0,0,0.0,29,354.8333333,0.0,0.010344828,0.0,0.0,6,1,1,1,1,2,1,0
5,140.8,4,254.75,61,1740.052778,0.007179487,0.023796204,14.62413644,0.0,7,2,2,2,2,2,1,0
0,0.0,0,0.0,47,1423.0,0.004347826,0.013768116,0.0,0.0,9,2,2,7,1,2,0,0
0,0.0,0,0.0,2,180.1470588,0.033333333,0.055555556,0.0,0.0,7,6,2,3,8,2,0,0
0,0.0,0,0.0,26,810.3713768,0.019230769,0.02530525,0.0,0.8,6,3,2,3,1,2,0,0
1,6.0,0,0.0,15,293.0,0.021428571,0.026190476,0.0,0.0,7,2,2,7,1,2,0,0
0,0.0,0,0.0,6,316.25,0.0,0.033333333,0.0,0.0,1,3,13,9,20,2,0,0
0,0.0,0,0.0,6,106.5,0.0,0.033333333,0.0,0.0,6,1,1,1,3,2,0,0
0,0.0,0,0.0,7,1010.166667,0.028571429,0.095238095,0.0,0.0,6,2,2,1,3,2,0,0
2,386.0,1,25.0,31,2725.0,0.010909091,0.017482517,0.0,0.0,6,2,6,2,5,2,1,0
0,0.0,0,0.0,37,356.1666667,0.002702703,0.012162162,0.0,0.4,6,2,2,1,2,2,0,0
9,64.5,3,99.6,33,768.4133333,0.004878049,0.013617886,41.34613116,0.0,9,2,2,4,2,2,0,0
19,230.3948365,3,48.3,111,3276.190541,0.0088,0.011027644,0.447038663,0.0,3,1,1,3,3,2,0,0
3,308.0,0,0.0,54,1306.151974,0.003508772,0.012962963,0.0,0.0,5,2,2,4,1,2,0,0
3,35.4,0,0.0,38,937.8075758,0.01025641,0.039316239,0.0,0.0,3,3,2,1,1,2,0,0
2,49.4,2,7.0,4,53.2,0.028571429,0.042857143,0.0,0.0,7,3,2,1,2,2,0,0
9,146.25,0,0.0,25,575.0,0.006666667,0.019666667,0.0,0.0,6,3,2,3,4,2,1,0
0,0.0,0,0.0,41,647.8166667,0.0125,0.026666667,0.0,0.4,6,2,2,6,1,2,0,0
0,0.0,0,0.0,29,1721.125,0.042528736,0.071264368,0.0,0.6,6,3,2,2,13,2,0,0
7,48.5,0,0.0,9,116.6666667,0.0,0.006666667,0.0,0.4,6,2,2,1,1,2,0,0
0,0.0,0,0.0,4,52.3,0.0,0.1,0.0,0.0,0,2,2,6,5,2,0,0
4,82.0,0,0.0,23,570.5166667,0.007407407,0.024074074,0.0,0.0,5,1,2,7,8,2,0,0
12,637.9388889,0,0.0,61,1797.298291,0.025147059,0.029877803,0.0,0.0,6,3,2,1,1,2,0,0
2,57.5,0,0.0,10,677.5,0.047619048,0.070138889,0.0,0.0,6,3,2,2,13,2,0,0
2,80.0,6,141.75,47,3573.472222,0.003773585,0.012006861,34.85660705,0.0,1,2,2,3,1,2,0,0
0,0.0,0,0.0,25,686.5,0.016,0.032,0.0,0.0,1,2,2,7,1,2,1,0
7,134.0,2,196.0,11,438.5833333,0.0125,0.032291667,0.0,0.0,6,2,5,1,2,2,0,0
2,47.0,0,0.0,42,1528.382468,0.0,0.004761905,17.69657143,1.0,6,1,1,1,4,0,1,1
0,0.0,0,0.0,6,122.5,0.011111111,0.077777778,0.0,0.2,6,2,6,6,4,2,0,0
0,0.0,0,0.0,59,3033.689449,0.00756193,0.015479685,0.0,0.0,7,1,2,3,2,2,0,0
0,0.0,0,0.0,68,3177.791667,0.005970149,0.011488014,0.0,0.0,6,2,4,4,4,2,0,0
0,0.0,0,0.0,24,308.8635531,0.0,0.028030303,0.0,0.0,5,2,6,2,2,2,0,0
0,0.0,0,0.0,12,202.0,0.0,0.041666667,0.0,0.0,6,2,2,7,14,2,0,0
0,0.0,0,0.0,5,143.0,0.0,0.04,0.0,0.0,5,2,4,1,1,2,0,0
1,5.5,0,0.0,103,2429.279762,0.034951923,0.044360501,0.0,0.0,7,3,2,1,13,2,0,0
9,387.75,0,0.0,64,980.5021994,0.000866739,0.012798697,9.581561053,0.0,7,3,2,3,1,2,0,1
9,156.6071429,5,156.75,83,2694.507143,0.0,0.009090909,0.0,0.0,7,2,4,1,2,2,0,1
7,169.5,0,0.0,50,1557.916667,0.003773585,0.013207547,0.0,0.0,1,1,1,3,2,2,0,0
0,0.0,0,0.0,17,766.5,0.0,0.0125,61.9395,0.0,5,2,2,1,2,0,1,1
4,48.0,0,0.0,2,11.0,0.0,0.008,0.0,0.0,5,2,6,6,7,0,0,0
8,567.3571429,1,122.0,41,2504.699567,0.0,0.013075397,6.211094697,0.0,6,2,2,1,2,2,0,0
1,51.5,0,0.0,12,549.25,0.0,0.015384615,0.0,0.0,1,2,2,2,2,0,0,0
