age,income,cards_have,response
71,32,3,0
33,144,8,1
49,63,10,0
38,57,10,0
26,159,5,0
30,163,8,1
35,41,0,0
55,44,9,1
60,10,3,0
51,186,1,1
49,109,10,1
50,23,5,1
61,159,6,0
37,55,6,1
65,82,7,1
38,26,8,1
37,180,3,0
25,31,9,0
27,27,7,1
68,159,6,0
56,168,10,1
23,87,7,0
38,111,8,0
25,104,6,0
28,41,1,0
49,140,10,1
57,200,2,0
70,158,4,1
41,153,9,1
49,186,7,1
27,162,10,1
34,123,0,0
34,156,9,1
30,54,6,1
29,13,3,0
57,198,9,1
34,177,4,0
65,137,7,0
43,50,10,1
43,120,5,0
60,186,6,0
54,181,1,1
50,143,7,1
38,161,9,1
70,57,0,1
50,165,1,1
57,186,10,0
56,191,7,1
35,185,6,0
49,145,10,0
19,90,1,0
41,150,8,1
66,83,9,1
64,36,1,1
75,58,4,0
60,91,6,1
32,47,1,1
23,82,7,1
60,57,1,0
59,189,3,0
66,186,3,0
40,59,8,1
70,71,2,1
23,61,3,1
47,134,5,0
51,123,10,0
50,49,6,0
22,169,3,0
38,85,1,0
28,53,1,0
70,166,1,1
19,28,4,0
19,74,9,1
32,168,0,0
31,78,8,0
52,169,3,1
37,151,9,0
70,18,0,1
53,24,7,0
64,98,4,0
72,160,3,0
52,195,3,0
60,73,0,1
59,122,5,1
52,72,10,0
44,62,7,1
18,193,4,1
54,90,8,0
42,143,4,0
23,53,0,1
62,188,6,0
62,194,5,1
53,81,6,1
31,139,10,1
31,23,6,1
26,138,6,1
71,165,8,0
55,84,3,1
68,51,0,1
53,116,10,0
49,116,2,1
75,102,10,0
67,105,7,1
43,197,8,0
46,127,2,0
48,46,2,0
66,67,1,1
42,22,4,1
63,57,10,1
73,91,7,1
57,66,0,0
69,107,6,0
68,24,7,0
25,83,0,1
19,22,7,1
60,169,1,0
55,48,3,1
60,187,5,0
63,65,3,0
36,173,8,0
20,21,3,1
65,167,5,1
56,101,4,0
73,160,5,1
66,134,6,0
23,135,3,1
69,165,4,0
30,154,2,0
52,197,4,1
55,14,0,0
52,122,7,1
51,131,2,0
35,79,9,0
35,88,1,1
62,71,9,0
67,52,6,1
50,37,9,1
33,165,9,0
60,114,2,1
42,127,3,0
62,44,4,0
50,141,1,0
31,52,6,1
22,172,10,1
27,29,9,1
38,124,8,1
56,11,2,0
33,187,7,0
45,140,8,1
69,149,2,1
41,63,10,0
22,60,10,0
35,24,7,0
52,183,5,0
74,97,6,1
47,113,4,1
68,17,8,0
60,170,8,0
47,187,4,0
22,22,2,0
31,121,8,0
28,77,1,0
41,129,3,1
73,45,5,1
74,172,6,0
75,115,10,0
47,188,1,0
26,114,3,1
53,104,1,1
40,24,4,1
47,151,10,0
20,192,6,1
42,140,6,0
26,116,4,1
60,138,9,0
74,175,8,1
33,163,5,1
45,60,7,0
40,122,6,1
69,162,8,1
44,43,4,1
68,86,6,1
42,18,6,1
30,48,7,1
46,102,6,0
51,83,9,0
32,95,6,0
44,16,5,0
29,115,5,1
67,45,9,0
19,183,6,1
67,126,7,0
56,78,7,0
18,33,0,0
58,117,9,1
70,54,9,1
36,161,0,1
56,82,3,1
18,191,6,0
59,173,10,0
