DayOfWeek,DepTime,ArrTime,CRSArrTime,FlightNum,ActualElapsedTime,CRSElapsedTime,AirTime,DepDelay,Distance,TaxiIn,TaxiOut,Cancelled,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,ArrDelay
1,1426,1539,1510,5573,73,80,63,36,262,3,7,0,0,0,0,0,0,29,29
1,1500,1650,1629,4679,110,96,75,7,508,2,33,0,0,7,0,14,0,0,21
5,1522,1738,1646,467,256,231,222,27,1491,5,29,0,0,0,0,30,0,22,52
6,1828,1921,1810,769,53,60,42,78,256,5,6,0,0,6,0,0,0,65,71
2,1740,2041,1930,751,181,126,129,16,533,10,42,0,0,0,0,55,0,16,71
4,1337,1410,1348,523,93,93,80,22,495,4,9,0,0,0,0,0,0,22,22
4,1523,1637,1548,5479,74,73,62,48,238,2,10,0,0,0,0,1,0,48,49
1,1323,1503,1255,4125,100,80,67,108,409,3,30,0,0,108,0,20,0,0,128
1,847,1100,1039,1575,133,129,94,17,634,3,36,0,0,0,0,4,0,17,21
2,1534,1732,1615,1091,118,110,90,69,597,17,11,0,0,9,0,8,0,60,77
5,2014,2113,2045,267,59,70,50,39,314,3,6,0,0,1,0,0,0,27,28
2,629,934,839,1997,185,144,161,14,728,3,21,0,0,14,0,41,0,0,55
3,1744,1847,1805,111,63,70,52,49,288,3,8,0,0,42,0,0,0,0,42
3,1958,2231,2053,251,333,335,311,100,2327,3,19,0,0,0,76,0,0,22,98
4,1525,1758,1550,3326,153,155,128,130,925,4,21,0,0,2,0,0,0,126,128
3,900,1126,1110,2622,146,150,131,20,937,3,12,0,0,3,0,0,0,13,16
7,1812,2038,2010,1093,86,85,71,27,528,5,10,0,0,27,0,1,0,0,28
2,1940,1951,1935,518,71,70,59,15,328,6,6,0,0,15,0,1,0,0,16
7,1216,1447,1302,501,151,89,67,43,447,3,81,0,0,0,0,68,0,37,105
5,1510,1828,1650,1480,198,190,175,90,1189,8,15,0,0,90,0,8,0,0,98
4,1756,1925,1825,3082,89,75,52,46,318,7,30,0,0,33,0,14,0,13,60
6,1656,1940,1915,967,344,335,320,16,2288,7,17,0,0,16,0,9,0,0,25
6,1554,1704,1649,4196,70,78,48,23,331,3,19,0,0,15,0,0,0,0,15
5,1713,1955,1903,1175,162,157,139,47,954,10,13,0,0,47,0,5,0,0,52
4,1244,1405,1345,3104,81,75,52,14,236,10,19,0,0,0,0,6,0,14,20
5,2208,124,40,2898,136,150,121,58,989,5,10,0,0,0,0,0,0,44,44
5,1707,1947,1849,4475,160,179,136,77,1027,13,11,0,0,0,58,0,0,0,58
2,1848,2024,1734,6397,96,80,68,154,363,5,23,0,0,0,0,170,0,0,170
1,1332,1411,1350,2191,99,105,89,27,628,3,7,0,0,2,0,0,0,19,21
1,1350,1604,1430,4351,74,60,34,80,223,2,38,0,0,80,0,14,0,0,94
5,1832,1955,1835,3857,83,90,65,87,408,6,12,0,0,0,80,0,0,0,80
4,2002,2123,2100,611,81,80,67,22,397,3,11,0,0,2,0,1,0,20,23
3,1547,2027,2000,1346,160,170,141,37,1205,12,7,0,0,4,0,0,0,23,27
1,1924,2006,1943,308,42,43,28,24,163,5,9,0,0,0,0,0,0,23,23
2,2105,2203,2115,1069,118,120,91,50,641,6,21,0,0,6,0,0,0,42,48
1,1608,1827,1759,4557,139,122,106,11,646,23,10,0,0,0,3,25,0,0,28
5,908,1335,1315,670,147,155,124,28,1055,15,8,0,0,20,0,0,0,0,20
5,1738,1848,1735,2242,70,85,53,88,337,5,12,0,0,2,0,0,0,71,73
3,1632,1728,1700,952,56,65,42,37,251,3,11,0,0,0,0,0,0,28,28
3,148,638,600,2454,170,170,148,38,1235,5,17,0,0,0,0,0,0,38,38
5,956,1119,1030,1627,83,90,64,56,460,6,13,0,0,16,0,0,0,33,49
5,1146,1357,1325,4079,131,120,103,21,677,3,25,0,0,0,5,11,0,16,32
