DayOfWeek,DepTime,ArrTime,CRSArrTime,FlightNum,ActualElapsedTime,CRSElapsedTime,AirTime,DepDelay,Distance,TaxiIn,TaxiOut,Cancelled,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,ArrDelay
4,1102,1308,1235,4440,66,55,34,22,214,2,30,0,0,0,0,11,0,22,33
3,2035,2200,2140,248,85,80,62,15,353,4,19,0,0,0,0,5,0,15,20
5,1015,1211,1155,3523,116,120,95,20,685,4,17,0,0,7,0,0,0,9,16
6,1543,1831,1549,614,108,109,86,163,612,5,17,0,0,0,0,162,0,0,162
1,941,948,740,1410,67,70,55,131,271,3,9,0,0,128,0,0,0,0,128
1,1704,1930,1835,4428,146,115,111,24,588,3,32,0,0,0,12,31,0,12,55
2,2039,2119,2030,114,160,175,151,64,1069,4,5,0,0,0,0,0,0,49,49
1,1833,2141,2014,508,128,139,113,98,910,6,9,0,0,0,0,0,0,87,87
5,1912,2050,1950,1684,98,110,85,72,631,4,9,0,0,3,0,0,0,57,60
5,1022,1111,955,3973,49,40,20,67,67,6,23,0,0,42,0,9,0,25,76
5,1009,1226,1156,4777,77,74,47,27,302,14,16,0,0,0,27,3,0,0,30
2,1358,1414,1357,4578,76,87,63,28,332,2,11,0,0,13,4,0,0,0,17
5,2223,2354,2230,2181,91,85,59,78,405,5,27,0,0,43,0,6,0,35,84
7,1933,2149,2100,1579,76,80,64,53,460,5,7,0,0,1,0,0,0,48,49
5,1012,1207,1045,3188,115,85,59,52,372,3,53,0,0,0,0,72,0,10,82
4,2142,2259,2145,695,137,166,114,103,733,3,20,0,0,0,0,0,0,74,74
1,1248,1509,1355,545,261,255,240,68,1660,5,16,0,0,68,0,6,0,0,74
7,2123,2235,2157,3305,72,47,23,13,89,4,45,0,0,13,0,25,0,0,38
1,1006,1220,1201,1524,134,141,113,26,737,2,19,0,0,0,0,0,0,19,19
4,1707,1735,1720,2122,88,90,77,17,478,4,7,0,0,3,0,0,0,12,15
2,2213,2252,2141,5564,39,45,28,77,86,3,8,0,0,0,0,0,0,71,71
7,1351,1515,1355,602,84,85,71,81,371,6,7,0,0,0,0,1,0,79,80
7,1714,2229,2145,1396,195,215,173,64,1464,3,19,0,0,6,0,0,0,38,44
2,1014,1141,1115,1596,87,80,64,19,386,4,19,0,0,3,0,7,0,16,26
3,1213,1331,1110,4810,78,75,54,138,185,6,18,0,0,0,0,141,0,0,141
7,1837,2032,2005,1505,115,120,96,32,646,7,12,0,0,8,0,0,0,19,27
5,1611,2134,2100,3920,203,210,186,41,1521,5,12,0,0,1,0,0,0,33,34
3,1100,1213,1150,2362,73,70,57,20,220,3,13,0,0,0,0,3,0,20,23
5,1723,1818,1715,5714,115,105,97,53,348,6,12,0,0,0,0,10,0,53,63
4,2229,2301,2010,4398,92,65,54,144,137,9,29,0,0,0,0,27,0,144,171
5,2034,2146,2105,2797,72,80,56,49,369,7,9,0,0,25,0,0,0,16,41
1,1132,1334,1310,2723,122,125,110,27,758,5,7,0,0,24,0,0,0,0,24
7,1130,1241,1155,2801,131,115,107,30,641,7,17,0,0,0,46,0,0,0,46
6,2219,2343,2220,1251,84,100,73,99,534,2,9,0,0,73,0,0,0,10,83
3,1805,1929,1840,176,84,90,71,55,480,4,9,0,0,0,0,0,0,49,49
6,1554,1858,1559,6815,124,134,95,189,807,4,25,0,0,0,0,0,0,179,179
1,1808,2021,1957,1127,133,122,103,13,650,5,25,0,0,0,0,11,0,13,24
4,1506,1542,1527,5525,36,47,25,26,86,3,8,0,0,0,0,0,0,15,15
4,743,1008,855,1768,145,85,69,13,369,7,69,0,0,13,0,60,0,0,73
6,1723,1929,1820,2939,126,90,110,33,408,7,9,0,0,0,0,36,0,33,69
2,1413,1850,1707,5856,217,198,165,84,1437,12,40,0,0,0,0,103,0,0,103
4,1733,1846,1805,41,73,65,57,33,239,5,11,0,0,33,0,8,0,0,41
4,1926,2238,2155,4416,132,135,94,46,738,3,35,0,0,0,18,0,0,25,43
3,1833,42,2303,116,309,318,289,108,2304,7,13,0,0,95,0,0,0,4,99
1,1247,1423,1355,1051,96,100,84,32,546,5,7,0,0,28,0,0,0,0,28
4,1812,2026,1925,442,314,315,301,62,2027,5,8,0,0,0,0,0,0,61,61
5,1501,1729,1645,749,148,170,132,66,1013,4,12,0,0,44,0,0,0,0,44
1,1405,1513,1450,1322,68,80,59,35,451,4,5,0,0,0,0,1,0,22,23
7,2155,57,40,2898,122,150,112,45,989,6,4,0,0,17,0,0,0,0,17
6,1810,2049,1924,494,99,114,80,100,641,8,11,0,0,24,0,0,0,61,85
5,1955,2115,2045,6349,80,76,61,26,326,5,14,0,0,0,0,30,0,0,30
5,1701,1916,1858,207,75,83,59,26,370,5,11,0,0,18,0,0,0,0,18
5,1252,1356,1330,432,64,60,48,22,237,8,8,0,0,1,0,4,0,21,26
5,1944,2056,1939,973,72,69,37,74,236,18,17,0,0,0,0,3,0,74,77
1,2218,136,2240,874,138,135,100,173,867,3,35,0,0,29,86,3,0,58,176
6,1624,1720,1216,6559,56,51,34,299,125,3,19,0,0,0,0,0,0,304,304
5,832,1103,1040,2522,91,85,71,17,431,8,12,0,0,23,0,0,0,0,23
